Normandie	223	139
Bretagne	91	190
Pays de la Loire	166	232
Nouvelle Aquitaine	221	360
Occitanie	295	450
Provence Alpes Cote d’Azur	460	440
Auvergne Rhone Alpes	400	350
Centre Val de Loire	280	230
Ile-de-France	315	160
Hauts-de-France	316	90
Bourgogne-France-Compté	390	250
Grand Est	440	160
Corse	580	530
